name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
combo_seq60_units8,8,0,0.2,0.0,0.0,60,32,0.001,adam,mse,15,10,0.04146051715340917,0.03106374866031119,-0.03742048568981726,0.5319148936170213,1449,0.7118270993232727,0.5127252340316772,18.807695388793945,5d
combo_rmsprop_seq20,32,0,0.3,0.0,0.0,20,32,0.001,rmsprop,mse,11,10,0.04289593274598634,0.03190766297421713,-0.110497592305979,0.5493230174081238,8865,0.4844839870929718,0.5889900326728821,8.988536596298218,5d
combo_huber_seq30,16,0,0.3,0.0,0.0,30,32,0.001,adam,huber,16,10,0.04246884320118135,0.031975756657279315,-0.08849453476038249,0.5125725338491296,3409,0.2629498541355133,0.2925340533256531,14.180472373962402,5d
combo_2c_huber,32,16,0.3,0.0,0.0001,10,32,0.001,adam,huber,12,10,0.041537037253606676,0.031107171922841605,-0.04125337445360988,0.4912959381044487,11985,0.23358914256095886,0.2576599717140198,13.550292730331421,5d
combo_units32_drop05,32,0,0.5,0.2,0.0,10,32,0.001,adam,mse,16,10,0.04193240306353803,0.030908658922925013,-0.061169827711365254,0.5357833655705996,8865,0.5859188437461853,0.5541504621505737,14.816467046737671,5d
combo_units8_l2,8,0,0.2,0.0,0.001,10,32,0.001,adam,mse,17,10,0.041995278608115645,0.03161154809159765,-0.06435455593132455,0.5261121856866537,1449,0.7310598492622375,0.6143313646316528,10.768587827682495,5d
combo_low_lr_huber,32,0,0.3,0.0,0.0,10,32,0.0005,adam,huber,18,15,0.042919827024024644,0.03130863581101255,-0.11173509557427708,0.5241779497098646,8865,0.2877550721168518,0.2676430642604828,13.84576940536499,5d
combo_seq5_units32,32,0,0.2,0.0,0.0,5,32,0.001,adam,mse,12,10,0.041019164275919506,0.030602916499707405,-0.015451079069051632,0.5319148936170213,8865,0.5350379943847656,0.6096439361572266,4.913323163986206,5d
combo_big_batch_lr,32,0,0.3,0.0,0.0,10,128,0.003,adam,mse,11,10,0.042090822194458,0.03135924776528249,-0.06920309771808486,0.4700193423597679,8865,0.41475367546081543,0.5980210900306702,4.272983551025391,5d
combo_minimal,4,0,0.0,0.0,0.0,5,32,0.001,adam,mse,14,10,0.04066928837485366,0.030601276082870485,0.0017977687061271341,0.5338491295938105,661,0.8541640043258667,0.6007561683654785,5.1342737674713135,5d
combo_2c_small,16,8,0.2,0.1,0.0,10,32,0.001,adam,mse,13,10,0.04284869354267881,0.031929091374668386,-0.1080530651494247,0.4661508704061896,4201,0.6482061147689819,0.5488297343254089,16.61819577217102,5d
